0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.9142622,-3.6450078,1.9377376,-1.5831745,-1.5512047,2.4411104,-4.221175,4.1112204,-1.0017012,-8.973656,-2.4667556,2.081618,-1.3511342,-0.4096979,-1.9205351,-8.336544
2.1404638,0.15988864,2.2781558,-0.158731,1.3970801,2.5763023,2.7329795,-4.184734,-2.845319,1.2541758,5.2474637,1.3824117,1.0312104,-2.3576386,-7.1719413,3.0039747
-3.4471965,1.0580825,-1.6824726,3.391185,0.48126888,-9.706593,-4.2853594,0.43216947,3.220297,0.6735192,-10.666105,-2.4250185,-0.34367344,2.7778597,7.25102,2.8149734
-5.169215,1.2256128,-4.322542,1.1931932,-0.7673562,-8.9998865,-1.441196,2.1747434,1.3471688,-0.21011724,-12.52861,-2.204463,-1.288401,1.5928524,11.102773,3.7026582
2.7100694,0.8087971,3.3426602,1.1027809,-0.38115063,4.238366,1.0221041,-3.4075036,-2.8823304,1.2810395,7.871881,2.7537978,0.71257013,-1.3247049,-7.809559,0.79366875
2.9308875,1.321838,4.558022,-0.05819375,1.5502305,4.844211,5.890438,-3.6189318,-3.3785195,2.2745736,9.315618,1.473207,0.84760654,-2.1975336,-11.066111,4.9622746
2.849397,1.5035883,2.7899816,0.11884574,0.9032145,5.518397,4.999119,-6.100278,-2.1791039,3.409702,9.33795,2.7706482,0.9784711,-2.6302764,-9.439852,5.446025
2.8502522,-0.21328048,3.556342,0.93101126,1.4538034,6.317805,0.99274063,-5.1384463,-4.548272,0.95740116,10.95042,3.7856874,1.3055722,-1.6907117,-12.122622,0.9818655
1.613911,0.9156981,4.7066193,-0.0068209865,0.7526818,4.0791407,7.610272,-4.271618,-3.103589,4.1118364,8.892137,2.517758,0.28442037,-2.3493214,-10.364496,5.383114
1.8551275,0.77507854,2.8009646,-0.07207826,1.4768138,3.1404862,1.9668349,-3.5937788,-1.1335788,0.54460716,6.086119,1.0120991,-0.27574423,-1.2564471,-6.8077497,1.7545004
-1.0322008,3.2361226,-1.7138102,2.6897135,-1.1992166,-7.4905787,0.8288157,-2.4986439,-0.022817122,0.86168283,-3.7908385,-2.4518318,-0.3353828,0.19498584,3.2587595,6.9881406
-3.8221946,2.1916537,-4.190886,3.4660008,0.39140207,-9.579778,-2.4972217,0.876626,2.261084,0.26666328,-8.996227,-3.7159355,-1.4299136,0.9060635,8.274992,1.8108429
-1.8964967,0.7090503,-2.7497015,0.7346816,0.21045056,-9.286446,-3.1687312,2.2146335,2.3781316,-1.3511304,-8.925252,-5.476873,-0.1704385,1.1808128,8.770284,3.9561033
-2.9254284,1.6006829,-2.083831,1.3022734,0.3295442,-8.342136,-5.3823643,2.1490023,2.039687,-3.4286797,-11.784175,-1.516264,-1.9696954,-0.28119376,8.435897,-0.3737411
-3.4339664,-0.23901898,-3.924418,0.59174985,-0.16510388,-9.783823,-4.199031,5.17136,2.3295114,-2.681655,-14.253303,-2.885734,-1.1705694,1.3764949,11.096518,1.3137352
-2.2167664,1.677952,-4.351094,3.4990172,-0.8917578,-7.7297525,-4.238426,-0.8493504,0.3528625,-0.4979025,-5.8232517,-2.4270327,-0.93388027,0.87124634,6.509194,2.350367
0.35709444,-2.8776445,1.1598604,-1.6580104,-1.8853946,1.8274379,-1.8487364,4.0821943,-0.7692522,-5.2790384,-1.6797001,1.1256127,0.30933547,0.3961535,-0.72363037,-5.677345
-0.5324835,-2.2980433,0.72965217,-5.0476165,-1.1758534,-1.9919416,-3.9252644,5.2480273,-0.6476122,-7.7431335,-5.130501,-0.24250296,0.17784956,0.03692997,-1.0683914,-6.3136773
-0.4671695,-2.60907,0.5036111,-3.3977897,-2.3126328,-1.0890905,-4.727358,3.5356126,-0.7917659,-7.728408,-5.6713543,-0.78560174,-0.26446247,-1.0250871,0.7864351,-9.800377
2.875448,-0.0069186594,3.51552,1.2674204,0.938557,4.135295,4.0232763,-4.649888,-2.6051064,3.2116296,10.490103,1.7894076,0.6649895,-2.5465946,-10.788849,3.6246715
-2.7222269,-0.6532641,-1.94947,-2.3336284,-0.19902748,-6.8108487,-1.182854,2.3012357,2.231518,-2.7749302,-9.49099,-1.8594192,-1.0656103,2.2720091,6.215641,-0.31314
2.607338,0.90980375,0.2547433,2.1301234,0.8898579,-0.026763815,2.6545942,-3.9834442,0.19172536,2.2810786,5.748172,0.29695705,-0.018928526,-0.7481037,-4.35861,3.7238395
-1.1821283,0.5596689,-2.416364,0.35562032,0.23166871,-5.260763,-1.3085103,1.9532676,1.4771209,0.76266956,-5.377056,-2.8304858,-0.7936606,1.2351215,6.126963,3.0830941
-3.8501592,2.2974036,-3.7729092,2.2223678,-0.75179386,-8.234697,-2.263961,0.73212796,1.0853485,-0.7269129,-9.313253,-4.4123764,-1.2811054,2.3320353,9.127241,4.570077
-1.1136565,-1.9436346,2.0890133,-4.0290303,-0.25799686,-1.3403875,-2.486668,1.9471703,-0.86101466,-7.4753,-4.5301247,1.6990061,0.51234955,2.3732142,-0.78198546,-5.92769
-3.0864632,2.0120306,-2.822941,-0.19301389,0.38405788,-7.377192,-1.6160129,2.905786,2.1985636,-0.9219617,-12.239541,-3.4254923,-1.1866536,1.6154877,10.374407,4.915735
-3.0709238,0.78203654,-2.9950314,2.684283,-0.97611666,-5.470152,-3.701306,1.88381,1.2161518,-1.2290679,-9.294165,-1.590941,0.30017614,1.1672509,5.7925277,2.366585
3.6885905,1.6499715,4.2296104,1.0157999,2.2686443,5.517187,3.7618535,-6.316665,-2.6871562,2.3280697,11.041114,1.8371798,-0.0754069,-2.709322,-11.920487,4.0039473
-1.6074109,-0.047522016,-1.7850796,-0.70335853,0.7882507,-7.551756,-3.0755026,2.4779062,1.2395211,-2.5252671,-10.072102,-3.1131873,-0.8426147,1.585862,5.620982,0.48380136
-4.3435397,1.7911993,-3.9492915,0.9798654,0.6622987,-7.2831473,-0.4903176,-0.34081045,1.9647707,-1.0625354,-8.581817,-3.4888644,-0.9967345,0.8860711,7.8295074,3.6931121
-2.634352,2.4744008,-5.3058367,3.5805593,1.5131695,-6.3342953,-0.34210607,-2.7384045,0.25249168,-0.17096183,-8.664343,-2.56278,-2.066517,-0.7270627,7.258432,7.965688
-4.803208,-1.4364632,-2.821153,-1.0563843,-1.8134499,-9.366075,-2.4430654,3.6114073,1.5965827,-3.8945591,-10.047852,-2.9620392,-1.2695189,2.5157511,8.582865,-0.6247011
2.2549887,2.6353853,2.7250044,1.9419115,-0.5684795,1.9266561,1.9511778,-6.8091,-2.08393,3.4398499,6.9716706,-0.047272865,0.18627633,-1.445057,-7.1224203,6.9254317
-4.121351,2.4159045,-3.5777812,3.0893135,0.15433078,-10.426234,-3.0344787,0.5326643,3.6871834,-0.051074017,-10.221687,-3.4917974,-0.7793137,2.5636806,8.649918,2.631675
-4.543959,0.82713515,-3.3845673,1.9647067,-0.7882303,-7.5691557,-3.483423,1.6068182,2.36077,-1.767412,-12.818999,-2.5345137,0.07450101,1.8762829,8.814589,2.446974
1.9662071,0.9016151,3.3499722,1.5337859,0.9957631,2.8042877,3.1220393,-4.59763,-2.3516276,2.0823147,7.9040112,1.9338199,1.5312204,-0.73463935,-8.187601,3.66846
-3.7978096,1.7795409,-3.616331,2.9462733,-0.047098134,-9.653948,-3.9506676,-0.42678759,3.103805,0.1512587,-9.411396,-2.9318535,-0.57281315,2.3126247,7.8098354,3.437974
